home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
England,France,62,61,35,35,79,108,0.5645161290322581,0.5737704918032787,1.2741935483870968,1.7704918032786885,1
Hungary,Bulgaria,32,26,16,8,87,22,0.5,0.3076923076923077,2.71875,0.8461538461538461,1
Germany FR,Spain,62,59,37,34,131,92,0.5967741935483871,0.576271186440678,2.1129032258064515,1.5593220338983051,1
Soviet Union,Chile,31,34,18,16,53,41,0.5806451612903226,0.4705882352941176,1.7096774193548387,1.2058823529411764,1
England,Argentina,62,81,35,54,79,133,0.5645161290322581,0.6666666666666666,1.2741935483870968,1.6419753086419753,1
Germany FR,Uruguay,62,52,37,25,131,80,0.5967741935483871,0.4807692307692308,2.1129032258064515,1.5384615384615383,1
Soviet Union,Hungary,31,32,18,16,53,87,0.5806451612903226,0.5,1.7096774193548387,2.71875,1
Portugal,Korea DPR,26,7,16,1,43,6,0.6153846153846154,0.1428571428571428,1.6538461538461535,0.8571428571428571,1
Germany FR,Soviet Union,62,31,37,18,131,53,0.5967741935483871,0.5806451612903226,2.1129032258064515,1.7096774193548387,1
England,Portugal,62,26,35,16,79,43,0.5645161290322581,0.6153846153846154,1.2741935483870968,1.6538461538461535,1
Portugal,Soviet Union,26,31,16,18,43,53,0.6153846153846154,0.5806451612903226,1.6538461538461535,1.7096774193548387,1
England,Germany FR,62,62,35,37,79,131,0.5645161290322581,0.5967741935483871,1.2741935483870968,2.1129032258064515,1
Mexico,Soviet Union,54,31,22,18,58,53,0.4074074074074074,0.5806451612903226,1.0740740740740742,1.7096774193548387,0
Peru,Bulgaria,15,26,6,8,19,22,0.4,0.3076923076923077,1.2666666666666666,0.8461538461538461,1
England,Romania,62,21,35,11,79,30,0.5645161290322581,0.5238095238095238,1.2741935483870968,1.4285714285714286,1
Italy,Sweden,83,46,52,22,128,74,0.6265060240963856,0.4782608695652174,1.5421686746987953,1.608695652173913,1
Germany FR,Morocco,62,13,37,4,131,12,0.5967741935483871,0.3076923076923077,2.1129032258064515,0.9230769230769232,1
Brazil,Czechoslovakia,108,30,75,15,225,44,0.6944444444444444,0.5,2.083333333333333,1.4666666666666666,1
Uruguay,Italy,52,83,25,52,80,128,0.4807692307692308,0.6265060240963856,1.5384615384615383,1.5421686746987953,0
